"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2025-05-16 00:00:00","517 W BOLIVAR AV, MILWAUKEE, WI, 53207-4947","Broken Branch Down - Blocking Street","2025-05-17 00:00:00","across from address. blocking 1/2 driving lane. 3 car lengths. 1 baseball bat thickness. And front of our home there is a BBD_Blocking Sidewalk. 2 car lengths , 1/2 baseball bat. Called 2S"
"2025-05-16 00:00:00","1979 S 13TH ST, MILWAUKEE, WI, 53204-3841","City Tree Down","","Report of cut up pieces of a tree left in the street between S. 13th-14th St on W. Rogers St. Operator contacted J. Johnson-Ostricki."
"2025-05-16 00:00:00","1810 W PLAINFIELD AV, MILWAUKEE, WI, 53221-1912","Broken Branch Down - Not Blocking","2025-05-16 00:00:00","tree branch"
"2025-05-16 00:00:00","3558 S 19TH ST, MILWAUKEE, WI, 53221-1502","Broken Branch Down - Not Blocking","2025-05-16 00:00:00","Large tree branch not blocking per resident."
"2025-05-16 00:00:00","130 N BROADWAY, MILWAUKEE, WI, 53202-0000","Broken Branch Down - Not Blocking","","Its at Catalano square on the Young st. side."
"2025-05-16 00:00:00","813 S 11TH ST, MILWAUKEE, WI, 53204-2145","Tree or Branch Down","2025-05-16 00:00:00","Neighbors tree split and fell completely on my property blocking entrance to my front door"
"2025-05-16 00:00:00","3329 S 7TH ST, MILWAUKEE, WI, 53215-5103","Tree or Branch Down","2025-05-16 00:00:00","The tree is on two cars and obstructing the road. Previous request shows completed but is currently in same condition."
"2025-05-16 00:00:00","3206 S 24TH ST, MILWAUKEE, WI, 53215-4415","Tree or Branch Down","2025-05-16 00:00:00","A private tree from a vacant property has fallen into another resident's backyard."
"2025-05-16 00:00:00","2650 S 13TH ST, MILWAUKEE, WI, 53215-3304","Broken Branch Down - Blocking Sidewalk","2025-05-17 00:00:00","Two branches on the sidewalk."
"2025-05-16 00:00:00","338 E EUCLID AV, MILWAUKEE, WI, 53207-2650","Broken Branch Down - Blocking Sidewalk","2025-05-17 00:00:00","No"
"2025-05-16 00:00:00","3726 N BOOTH ST, MILWAUKEE, WI, 53212-1604","Damages to Sewers","2025-05-16 00:00:00","manhole cover off"
"2025-05-16 00:00:00","3977 S 1ST PL, MILWAUKEE, WI, 53207-4307","Broken Branch Down - Not Blocking","2025-05-16 00:00:00","Down tree branches near sidewalk."
"2025-05-16 00:00:00","3444 S KANSAS AV, MILWAUKEE, WI, 53207-3655","Broken Branch Down - Blocking Sidewalk","2025-05-17 00:00:00","Two large broken branches on city tree"
"2025-05-16 00:00:00","3352 S 79TH ST, MILWAUKEE, WI, 53219-3825","Collection Schedule - Garbage and Recycling","","Recycling was NOT picked up yesterday.  The odd (west) side of the the street was collected but the even (east) was not."
"2025-05-16 00:00:00","619 E DOVER ST, MILWAUKEE, WI, 53207-2107","Broken Branch Down - Not Blocking","2025-05-16 00:00:00","At a school playground blocking the sidewalk where busses let students off."
"2025-05-16 00:00:00","2613 W CAPITOL DR, 3, MILWAUKEE, WI, 53206-1413","Weeds and Tall Grass Complaint","","Area behind building needs attention."
"2025-05-16 00:00:00","2613 W CAPITOL DR, 3, MILWAUKEE, WI, 53206-1413","Small Items Discarded on Private Property","","Area is becoming an illegal dump site."
"2025-05-16 00:00:00","4583 S LENOX ST","Drainage or Standing Water Not Related to a Clogged Catch Basin","","Sewer drain is filled with debris and is clogged"
"2025-05-16 00:00:00","3720 S 77TH ST, MILWAUKEE, WI, 53220-1624","Weeds and Tall Grass Complaint","","Grass hasn't been cut and very long"
"2025-05-16 00:00:00","4922 W WISCONSIN AV, MILWAUKEE, WI, 53208-3052","Weeds and Tall Grass Complaint","","Tons of weeds and grass needs cuttin"
"2025-05-16 00:00:00","1532 E SAVELAND AV, MILWAUKEE, WI, 53207-4079","No Mow May Registration","",""
"2025-05-16 00:00:00","4509 N 38TH ST, MILWAUKEE, WI, 53209-5913","Broken Branch Down - Not Blocking","2025-05-16 00:00:00","Damaged by storm last night"
"2025-05-16 00:00:00","3314 W LINCOLN AV, MILWAUKEE, WI, 53215-2351","Weeds and Tall Grass Complaint","","Needs to mow"
"2025-05-16 00:00:00","3202 S 36TH ST, MILWAUKEE, WI, 53215-4132","Clogged Catch Basin/Surface Flooding","","I dragged a shovel over the surface, the clog is below the surface."
"2025-05-16 00:00:00","2845 S ELLEN ST, MILWAUKEE, WI, 53207-2536","Damaged City Tree","","The tree that broke looks sketchy and other branches could fall on a parked car or person walking on the sidewalk."
"2025-05-16 00:00:00","4573 S LENOX ST","Clogged Catch Basin/Surface Flooding","","Sewer drain is clogged with gravel from street."
"2025-05-16 00:00:00","3416 N 96TH ST, MILWAUKEE, WI, 53222-3448","Broken Branch Down - Not Blocking","2025-05-16 00:00:00","Can drive around branch and tried to move out of traffic the best I could."
"2025-05-16 00:00:00","2600 W HIGHLAND AV, MILWAUKEE, WI, 53233-0000","Branches or Bushes Encroaching Sidewalk","","Tree is hanging over the sidewalk and blocks the view"
"2025-05-16 00:00:00","2191 N HI MOUNT BL, MILWAUKEE, WI, 53208-1112","Broken Branch Down - Blocking Street","2025-05-16 00:00:00","Branch blocking the street on W. Garfield Ave between N. 51st St. and W. Hi Mt. BL. Operator contacted A. Kashuba."
"2025-05-16 00:00:00","2665 N 35TH ST, MILWAUKEE, WI, 53210-2520","Small Items Discarded on Private Property","","Items discarded every where almost everyday"
"2025-05-16 00:00:00","2627 W CAPITOL DR, MILWAUKEE, WI, 53206-1413","Furniture Discarded on Private Property","","Illegal dump site."
"2025-05-16 00:00:00","1830 W ARTHUR AV, MILWAUKEE, WI, 53215-3016","Forestry Callback Request Not Related to Code Enforcement","","caller wants to make a complaint about how long it is taking for forestry to come and move the tree on her car. she was told by CHO to call city to complain"
"2025-05-16 00:00:00","2418 W MAPLE ST, MILWAUKEE, WI, 53204-3038","Broken Branch Down - Not Blocking","2025-05-16 00:00:00","In parking now. fell on callers car last night caller removed branch. front car damage, sideview mirror damage, 1 car length."
"2025-05-16 00:00:00","1424 W HARRISON AV, MILWAUKEE, WI, 53215-3328","Broken Branch Down - Blocking Sidewalk","2025-05-16 00:00:00","THE CITY TREE LIMB IS BROKEN BLOCKING THE SIDEWALK // STATES THE LARGE TREE IS LEANING ON HIS HOUSE AND THE ONE NEXT DOOR"
"2025-05-16 00:00:00","3419 S 96TH ST, MILWAUKEE, WI, 53227-4332","Garbage Cart: Missing","","I need a replacement garbage cart.  The previous one disappeared, I put it out by the curb last night and this morning it’s gone."
"2025-05-16 00:00:00","4525 N 28TH ST, MILWAUKEE, WI, 53209-6115","Weeds and Tall Grass Complaint","","tall grass"
"2025-05-16 00:00:00","4228 N 22ND ST, MILWAUKEE, WI, 53209-6716","Broken Branch Hanging Over Sidewalk","2025-05-16 00:00:00","Tree by Sidewalk/Curb that sits between two residences- 4428 and 4230 North 22nd st,  a broken branch  is  suspended mid-Air/comingled/hung up by another branch, connected to the tree. please see area  on the street side of the tree."
"2025-05-15 00:00:00","3907 W HAMPTON AV, MILWAUKEE, WI, 53209-5228","Garbage Cart: Damaged","","g-cart possible hit by vehicles"
"2025-05-15 00:00:00","1920 W MC KINLEY AV, MILWAUKEE, WI, 53205-2034","Garbage Cart: Damaged","","sfh, 1g cart on site, broken wheels, please repair/replace"
"2025-05-15 00:00:00","2700 W LISBON AV, MILWAUKEE, WI, 53208-2026","Miscellaneous Street Maintenance Request","","This big block of concrete is sitting in the public right of way  since last fall. Several cars have hit this piece of concrete and it needs to be removed before someone gets severely injured."
"2025-05-15 00:00:00","3907 W HAMPTON AV, MILWAUKEE, WI, 53209-5228","Recycling Cart: Damaged","","R-CART SMASHED"
"2025-05-15 00:00:00","2349 N 20TH ST, MILWAUKEE, WI, 53206-1550","Scattered Litter and Debris on Private Property","2025-05-16 00:00:00","Illegal dumping of items on vacant property."
"2025-05-15 00:00:00","2499 W FOND DU LAC AV, MILWAUKEE, WI, 53206-0000","Light Pole Hit/Damaged","2025-05-15 00:00:00","officer, street light pole on Southeast corner was hit on a car accident light pole is leaning toward the building, officer wants to make sure is working, call 3015"
"2025-05-15 00:00:00","3371 S 78TH ST, MILWAUKEE, WI, 53219-3822","Missed Collection: Recycling","2025-05-16 00:00:00","Caller states R-Cart was missed along ASL route. Requesting collection."
"2025-05-15 00:00:00","5975 S 6TH ST","Street Light Out","2025-05-17 00:00:00","Streetlight out on S 6th around curve"
"2025-05-15 00:00:00","1134 W COLLEGE AV","Street Light Out","","streetlight out on College Ave between Hampton Inn and McDonalds"
"2025-05-15 00:00:00","6179 S HOWELL AV","Street Light Out","2025-05-17 00:00:00","multiple median streetlights out near George Webb"
"2025-05-15 00:00:00","5937 S HOWELL AV","Street Light Out","","median light out on Howell shortly before tunnel"
"2025-05-15 00:00:00","233 E MONTANA ST, MILWAUKEE, WI, 53207-2015","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush is behind garbage cans in alley"
"2025-05-15 00:00:00","3365 N 29TH ST, MILWAUKEE, WI, 53216-3805","Construction Concerns","","City came to repair gas leak and also we did the concrete. The barriers have been here for about two weeks now can someone please come and move it so we can have our back thank you."
"2025-05-15 00:00:00","3369 N 29TH ST, MILWAUKEE, WI, 53216-3805","Construction Concerns","","Can someone please come over these barriers on our street? It’s causing a conflict."
"2025-05-15 00:00:00","3372 N 29TH ST, MILWAUKEE, WI, 53216-3806","Plant City Tree","2025-05-15 00:00:00",""
"2025-05-15 00:00:00","3877 N 41ST ST, MILWAUKEE, WI, 53216-3065","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-15 00:00:00",""
"2025-05-15 00:00:00","5244 S 26TH ST","Other Animal Problem","2025-05-16 00:00:00","Believe a rooster is at 5244/46 s 26 st
Hear ur crowing starting at 5 am.
Have heard it on and off in the past, but only in the day time. Now it’s starting early in the morning
Would like to remain anonymous!!
Sorry, tried to get a pic, but couldn’t.  It’s kept in an area in back of the garage, appears well cared for. However, I believe ordinance states only hens"
"2025-05-15 00:00:00","3075 N 45TH ST","Settlement","","2 large settlements that in east bound lane of burleigh at N. 45th St."
"2025-05-15 00:00:00","4028 A W BURLEIGH ST","Potholes","","W. Burleigh St. from N. 41st St. to W. Fond du lac has several potholes breaking open. Most sever is at N. 41st St."
"2025-05-15 00:00:00","6601 N 85TH ST, MILWAUKEE, WI, 53224-5413","Backwater","","Operator contacted M5 at 708-7339."
"2025-05-14 00:00:00","3100 W CAMERON AV, MILWAUKEE, WI, 53209-5437","Potholes","","The entire side of the street is deteriorating full of pot holes"
"2025-05-14 00:00:00","2900 W CAMERON AV, MILWAUKEE, WI, 53209-5414","Potholes","","The entire side of the street is deteriorating full of potholes"
"2025-05-14 00:00:00","2830 W CAMERON AV, MILWAUKEE, WI, 53209-5412","Potholes","","The entire side of the street is deteriorating full of potholes"
"2025-05-14 00:00:00","620 W BURLEIGH ST, MILWAUKEE, WI, 53212-0000","Special Pickup - Accident Debris","","Request for a street sweeper for accident debris near the intersection of N. 6th St. and W. Burleigh St. Debris not blocking traffic per MPD."
"2025-05-14 00:00:00","601 S OAK PARK CT, MILWAUKEE, WI, 53214-1929","Potholes","",""
"2025-05-14 00:00:00","1603 E IRVING PL, MILWAUKEE, WI, 53202-1415","Street Light Out","2025-05-15 00:00:00",""
"2025-05-14 00:00:00","3344 S 86TH ST, MILWAUKEE, WI, 53227-4622","No Mow May Registration","",""
"2025-05-14 00:00:00","1100 S 4TH ST","No Mow May Registration","",""
"2025-05-14 00:00:00","4172 N 80TH ST, MILWAUKEE, WI, 53222-1907","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Tirmnings"
"2025-05-14 00:00:00","9375 W DIXON ST, MILWAUKEE, WI, 53214-1269","Weeds and Tall Grass Complaint","","Grass hasn't been mowed"
"2025-05-14 00:00:00","1036 W PIERCE ST, MILWAUKEE, WI, 53204-1327","Missed Collection: Garbage","2025-05-14 00:00:00","Garbage pick up was missed for my block. Carts were on curb before 7 am on Tuesday May 13th."
"2025-05-14 00:00:00","3766 S 52ND ST, MILWAUKEE, WI, 53220-2009","Missed Collection: Garbage","2025-05-14 00:00:00",""
"2025-05-14 00:00:00","833 N HAWLEY RD, 1","Miscellaneous Street Maintenance Request","","Use street sweeper for street debris, in all city bike lanes. Have Mike Amsden call me."
"2025-05-14 00:00:00","2520 N PALMER ST, MILWAUKEE, WI, 53212-2832","Garbage Cart: Damaged","2025-05-15 00:00:00","Lid is broken off"
"2025-05-13 00:00:00","3676 S 79TH ST, MILWAUKEE, WI, 53220-1014","Scattered Litter and Debris on Private Property","","pile of trash in front of garage door. garage is located off of Wilbur Avenue."
"2025-05-13 00:00:00","3676 S 79TH ST, MILWAUKEE, WI, 53220-1014","Parking on Unapproved Surface, Private Property","2025-05-14 00:00:00","boat and pop up camper parked on lawn. this is not an approved surface for parking."
"2025-05-13 00:00:00","7625 W WARNIMONT AV, MILWAUKEE, WI, 53220-1181","Parking on Unapproved Surface, Private Property","2025-05-14 00:00:00","vehicle always parked to left of garage and pad on unapproved surface. even google maps shows the vehicle parked illegally"
"2025-05-13 00:00:00","7721 W MEDFORD AV","Potholes","",""
"2025-05-13 00:00:00","2637 N 27TH ST, MILWAUKEE, WI, 53210-2602","Recycling Cart: Missing","","Somebody keeps stealing my recycling cart"
"2025-05-13 00:00:00","528 N 92ND ST, MILWAUKEE, WI, 53226-4566","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-14 00:00:00",""
"2025-05-13 00:00:00","2338 N HOLTON ST, MILWAUKEE, WI, 53212-3356","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-14 00:00:00","Someone has been illegally dumping yard debris in my back parking spot again of where I rent/live. It happened last year and is happening again it seems. I need it picked up thanks. I out it all in a pile by the garbage cans in the alley for collection."
"2025-05-13 00:00:00","1911 S MUSKEGO AV, MILWAUKEE, WI, 53204-3621","Weeds and Tall Grass Complaint","","Grass is too long"
"2025-05-13 00:00:00","2108 S MUSKEGO AV, MILWAUKEE, WI, 53215-2544","Weeds and Tall Grass Complaint","","Tall grass/weeds"
"2025-05-13 00:00:00","2112 S MUSKEGO AV, MILWAUKEE, WI, 53215-2544","Weeds and Tall Grass Complaint","","Tall grass"
"2025-05-13 00:00:00","6418 W BENNETT AV, MILWAUKEE, WI, 53219-4121","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-13 00:00:00","Please pickup Bushes on curbside"
"2025-05-13 00:00:00","3476 N DOUSMAN ST, A, MILWAUKEE, WI, 53212-1761","Plumbing Problem","","Lower unit “A” has a leak on hot water pipe above my furnace in the basement since 3/1/2025 and declined a plumbers quote to repair on 4/3/2025.   The owner now proposes a repair by a non credentialed handyman, who would use a non code compliant pipe repair clamp without a permit but has done nothing as of today."
"2025-05-13 00:00:00","4829 S 13TH ST, MILWAUKEE, WI, 53221-2434","Weeds and Tall Grass Complaint","",""
"2025-05-13 00:00:00","5476 S 13TH ST, MILWAUKEE, WI, 53221-4420","Weeds and Tall Grass Complaint","2025-05-14 00:00:00",""
"2025-05-13 00:00:00","829 W GRANGE AV, MILWAUKEE, WI, 53221-4425","Weeds and Tall Grass Complaint","2025-05-14 00:00:00",""
"2025-05-13 00:00:00","3242 N 24TH PL, MILWAUKEE, WI, 53206-1211","Potholes","","City workers came to do work and did a piss poor job of fixing the issue! The material used is not substantial enough to within stand the constantly being driven over."
"2025-05-13 00:00:00","480 N 49TH ST, MILWAUKEE, WI, 53208-3664","No Mow May Registration","",""
"2025-05-13 00:00:00","4968 N 22ND ST, MILWAUKEE, WI, 53209-5628","Dog Feces","","Dog feces and it smells bad"
"2025-05-13 00:00:00","1846 W HALSEY AV, MILWAUKEE, WI, 53221-2843","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-14 00:00:00","3 yard bags"
"2025-05-13 00:00:00","5280 N 74TH ST, MILWAUKEE, WI, 53218-2827","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-14 00:00:00","aware of limits"
"2025-05-13 00:00:00","3360 N SHERMAN BL, MILWAUKEE, WI, 53216-3559","Settlement","","Update - Settlement in progress of repair"
"2025-05-13 00:00:00","3761 N 60TH ST, MILWAUKEE, WI, 53216-0000","Interior of Building in Disrepair","2025-05-14 00:00:00","Unit #2. Bathroom has holes in the walls and is leaking. Tub and panel are broken. Concrete in hall is buckled and trpping residents. Kitchen is in disrepair. Utility sink is clogged."
"2025-05-13 00:00:00","1947 S 28TH ST, MILWAUKEE, WI, 53215-2225","Garbage Supervisor Callback","2025-05-14 00:00:00","Caller states G-Cart at location is frequently missed. Caller states location is a curb collection point along the same block with an alley. Caller states G-Cart is missed weekly. See 5290978 and 5298404. Requesting collection as soon as possible and callback to discuss."
"2025-05-13 00:00:00","5533 N 106TH ST, MILWAUKEE, WI, 53225-3208","Special Services Miscellaneous","2025-05-15 00:00:00","On Sheridan Av side, 5 bio bags of leaves & small yard debris, not taken yesterday nor today with Clean & Green."
"2025-05-13 00:00:00","3629 N 80TH ST, MILWAUKEE, WI, 53222-2919","Zoning Violation","2025-05-14 00:00:00","Black plastic added to side yard fence. Did not respond to advisory issued."
"2025-05-12 00:00:00","9029 W ROCHELLE AV, MILWAUKEE, WI, 53224-4746","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush, size limit informed."
"2025-05-12 00:00:00","2434 S 13TH ST, MILWAUKEE, WI, 53215-3115","Scattered Litter and Debris on Private Property","2025-05-14 00:00:00","Roofing debris left on lawn for weeks"
"2025-05-12 00:00:00","4661 N 19TH PL, MILWAUKEE, WI, 53209-6453","Forestry Callback Request Not Related to Code Enforcement","","Caller states city tree was removed from location, back fill and seed was replaced. Caller states they were informed that if grass seed didn't grow that Forestry would return to repair or replace. Caller requesting callback to discuss more backfill and seed at location."
"2025-05-12 00:00:00","2323 N 19TH ST, MILWAUKEE, WI, 53206-2051","Garbage Cart: Missing","","Duplex, only 1 g-cart now, 2nd missing. If able, put addr on."
"2025-05-12 00:00:00","649 E ERIE ST, MILWAUKEE, WI, 53202-6203","Potholes","","Erie St near Sail Loft"
"2025-05-12 00:00:00","6325 S 20TH ST","All Other Signs","","Upside down parking regulations sign on light pole"
"2025-05-12 00:00:00","3450 N DOWNER AV, MILWAUKEE, WI, 53211-2934","Potholes","2025-05-13 00:00:00","4 or so potholes next to sewer manhole lids in the southbound driving lane"
"2025-05-12 00:00:00","3119 N 38TH ST, MILWAUKEE, WI, 53216-3603","Garbage Cart Not Returned to Storage Location","2025-05-12 00:00:00",""
"2025-05-12 00:00:00","2044 N 55TH ST, MILWAUKEE, WI, 53208-1670","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-13 00:00:00","Small Brush pile with tree limb by Light Post/Speed Sign on Lloyd Street Drive Way."
"2025-05-12 00:00:00","7005 W RUBY AV, MILWAUKEE, WI, 53218-5419","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-13 00:00:00","small brush pick up at curb 
thank you!"
"2025-05-12 00:00:00","7005 W RUBY AV, MILWAUKEE, WI, 53218-5419","Bulky Pickup & San Inspector Notification","","pick up of garbage/old planter and plastic next to garbage can
thank you !"
"2025-05-12 00:00:00","3535 W OKLAHOMA AV, MILWAUKEE, WI, 53215-4171","Weeds and Tall Grass Complaint","","Tall grass"
"2025-05-12 00:00:00","3356 N BARTLETT AV, MILWAUKEE, WI, 53211-3024","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-13 00:00:00","3 bags in front of home near street"
"2025-05-12 00:00:00","7318 N CASSIE AV, MILWAUKEE, WI, 53224-3646","Missed Collection: Recycling","2025-05-13 00:00:00","Please collect"
"2025-05-12 00:00:00","5300 W ROOSEVELT DR, MILWAUKEE, WI, 53216-0000","Construction Concerns","","sign blocking the road"
"2025-05-12 00:00:00","5200 W STATE ST, MILWAUKEE, WI, 53208-2618","Cave-In, Sinkhole, or Void","2025-05-12 00:00:00",""
"2025-05-12 00:00:00","8007 W CUSTER AV, MILWAUKEE, WI, 53218-3531","Collection Schedule - Garbage and Recycling","",""
"2025-05-12 00:00:00","8007 W CUSTER AV, MILWAUKEE, WI, 53218-3531","INFO ONLY: Garbage Collection Day Information Request","2025-05-12 00:00:00",""
"2025-05-12 00:00:00","8007 W CUSTER AV, MILWAUKEE, WI, 53218-3531","INFO ONLY: Recycling Collection Day Information Request","2025-05-12 00:00:00",""
"2025-05-12 00:00:00","3567 S CLEMENT AV, MILWAUKEE, WI, 53207-3501","Recycling Cart: Missing","","Gone for 10 days and 1 of our recycle bins was gone."
"2025-05-12 00:00:00","5623 W GREEN TREE RD, MILWAUKEE, WI, 53223-5217","Missed Collection: Garbage","2025-05-13 00:00:00","cart at the curb but missed friday"
"2025-05-12 00:00:00","5623 W GREEN TREE RD, MILWAUKEE, WI, 53223-5217","Collection Schedule - Garbage and Recycling","",""
"2025-05-12 00:00:00","3428 S 19TH ST, MILWAUKEE, WI, 53215-4914","Recycling Cart: Missing","","Recycling cart went missing about 6 weeks ago. Need replacement."
"2025-05-12 00:00:00","3429 S 2ND ST, MILWAUKEE, WI, 53207-3235","Missed Collection: Garbage","2025-05-13 00:00:00",""
"2025-05-12 00:00:00","3429 S 2ND ST, MILWAUKEE, WI, 53207-3235","Missed Collection: Recycling","2025-05-13 00:00:00",""
"2025-05-11 00:00:00","2567 N 48TH ST, MILWAUKEE, WI, 53210-2846","Brush Pickup Request, Less than 2 Cubic Yards, April-November","",""
"2025-05-11 00:00:00","3425 S INDIANA AV, MILWAUKEE, WI, 53207-3719","Recycling Cart: Delete","","Have 2 recycling bins; please remove 1"
"2025-05-11 00:00:00","2892 S MABBETT AV, MILWAUKEE, WI, 53207-2523","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush pickup"
"2025-05-11 00:00:00","7019 W GREENBROOK CT, MILWAUKEE, WI, 53223-2156","Brush Pickup Request, Less than 2 Cubic Yards, April-November","2025-05-12 00:00:00",""
"2025-05-11 00:00:00","4521 N 38TH ST, MILWAUKEE, WI, 53209-5913","Potholes","","Two on block, one pictured and the other near Glendale street start of 45th street"
"2025-05-11 00:00:00","2768 S WENTWORTH AV, MILWAUKEE, WI, 53207-2354","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","one large green tarp with weeds and brush"
"2025-05-11 00:00:00","8310 W BURLEIGH ST, MILWAUKEE, WI, 53222-4806","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Branches in alley next to garbage carts"
"2025-05-11 00:00:00","3800 S LENOX ST, MILWAUKEE, WI, 53207-3946","Garbage Cart: Delete","","please collect one garbage and recyling can so we only have one of each. Thank you!"
"2025-05-10 00:00:00","1744 N PALMER ST, MILWAUKEE, WI, 53212-3928","Street Light Out","2025-05-11 00:00:00","1700 block N Palmer is very dark, not sure how many streetlights are on that block, but it is very dark and seems unsafe. Thank you."
"2025-05-10 00:00:00","2123 S LAYTON BL, MILWAUKEE, WI, 53215-2456","Brush Pickup Request, Less than 2 Cubic Yards, April-November","",""
"2025-05-10 00:00:00","211 W UNCAS AV, MILWAUKEE, WI, 53207-6245","Bulky Pickup & San Inspector Notification","","Two couches on the curb."
"2025-05-10 00:00:00","631 E WATERFORD AV","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush pile"
"2025-05-10 00:00:00","3731 S 54TH ST, MILWAUKEE, WI, 53220-2038","Brush Pickup Request, Less than 2 Cubic Yards, April-November","",""
"2025-05-10 00:00:00","368 E MANITOBA ST, MILWAUKEE, WI, 53207-2058","Potholes","","In front of the fire hydrant on the east side of street. Looks to be quite deep."
"2025-05-10 00:00:00","300 W EDGERTON AV, MILWAUKEE, WI, 53207-0000","Settlement","","At about 2nd and Edgerton street is sinking in west bound lane. A city crew had been digging there some time ago."
"2025-05-10 00:00:00","1613 E EDEN PL, MILWAUKEE, WI, 53207-3642","Missed Collection: Recycling","","Our cart was at the curb before collection time and it was not picked up"
"2025-05-10 00:00:00","1609 N 51ST ST, MILWAUKEE, WI, 53208-2218","Garbage Cart: Damaged","","Lid area damaged. Large holes."
"2025-05-10 00:00:00","4214 N 83RD ST, MILWAUKEE, WI, 53222-1808","No Mow May Registration","",""
"2025-05-10 00:00:00","4208 N 52ND ST, MILWAUKEE, WI, 53216-1338","Bulky Pickup & San Inspector Notification","","Toilet"
"2025-05-10 00:00:00","4510 N 23RD ST, MILWAUKEE, WI, 53209-6201","Missed Collection: Garbage","","dpw project. neighbors have trash waiting to pick up"
"2025-05-10 00:00:00","3322 N 93RD ST, MILWAUKEE, WI, 53222-3513","Bulky Pickup & San Inspector Notification","",""
"2025-05-10 00:00:00","3278 N HOLTON ST","Bulky Pickup & San Inspector Notification","","About 3 cubic yards of trash bags, full size mattress due to death in the family and clean out of belongings. All is neatly piled at the cans in the alley."
"2025-05-10 00:00:00","300 W BOTTSFORD AV, MILWAUKEE, WI, 53207-4952","Potholes","",""
"2025-05-10 00:00:00","300 W EDGERTON AV, MILWAUKEE, WI, 53207-0000","Potholes","","2 potholes about 6ft and 10ft on the intersection 2nd and Edgerton and it looks like they were patch and it depressing"
"2025-05-10 00:00:00","5650 N 39TH ST, MILWAUKEE, WI, 53209-3902","Missed Collection: Recycling","",""
"2025-05-10 00:00:00","7712 W BOBOLINK AV, MILWAUKEE, WI, 53218-1731","Missed Collection: Garbage","","missed collection"
"2025-05-10 00:00:00","4706 W KEEFE AV, MILWAUKEE, WI, 53216-2917","Beehive or Wasp Nest in City Tree","","located at NW corner of W Keefe Ave and 47th Street"
"2025-05-10 00:00:00","3033 W KILBOURN AV, MILWAUKEE, WI, 53208-3414","Brush Pickup Request, Less than 2 Cubic Yards, April-November","",""
"2025-05-10 00:00:00","5401 W SHERIDAN AV, MILWAUKEE, WI, 53218-3342","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","brush"
"2025-05-10 00:00:00","3626 S 3RD ST, MILWAUKEE, WI, 53207-3244","Garbage Cart: Damaged","","The cart's base appears to have broken through since the last time garbage was picked up, it's only connected at the back and probably needs to be fully replaced."
"2025-05-10 00:00:00","2665 N 45TH ST, MILWAUKEE, WI, 53210-2403","Garbage Cart: Missing","","Garbage cart was here last week now it is gone"
"2025-05-10 00:00:00","3416 N 87TH ST, MILWAUKEE, WI, 53222-3742","No Mow May Registration","",""
"2025-05-10 00:00:00","449 N 50TH ST, MILWAUKEE, WI, 53208-3635","No Mow May Registration","",""
"2025-05-10 00:00:00","449 N 50TH ST, MILWAUKEE, WI, 53208-3635","Brush Pickup Request, Less than 2 Cubic Yards, April-November","",""
"2025-05-10 00:00:00","6223 W HUSTIS ST, MILWAUKEE, WI, 53223-5421","Street Light Out","","street light is out.  other lights out on street also."
"2025-05-10 00:00:00","2803 N PIERCE ST, MILWAUKEE, WI, 53212-2548","Garbage Cart: Delete","","We have two garbage carts for our residence. We only need one. Please remove one garbage cart."
"2025-05-10 00:00:00","2803 N PIERCE ST, MILWAUKEE, WI, 53212-2548","Recycling Cart: Delete","","We have two recycling carts and only need one. Please remove one cart. Thank you."
"2025-05-10 00:00:00","1309 W CHAMBERS ST, MILWAUKEE, WI, 53206-2733","Missing Sewer Lid or Grate","","covers missing"
"2025-05-10 00:00:00","241 W EDGERTON AV","Settlement","","2 massive depressions in the westbound lane of W. Edgerton Ave. at the intersection of S. 2nd St approximately 10' x 6' and 3 deep.  Water cap just outside one of the depressions.  Also saw a barricade all bent and broken laying on the corner sidewalk."
"2025-05-10 00:00:00","2530 N GRANT BL, MILWAUKEE, WI, 53210-2942","Brush Pickup Request, Less than 2 Cubic Yards, April-November","","Brush"
"2025-05-10 00:00:00","1748 N ARLINGTON PL, MILWAUKEE, WI, 53202-1619","Private Tree Problems or Questions","","There is a pine tree located on the property of 1752 N Arlington Pl that is growing into the side of my house, the roots are also growing to the sewer line. This tree is causing damage to my house and the owner of 1752 needs to have it removed."
